team,name,salary,playerID
Cincinnati Reds,Michael Lorenzen,1379630,547179
Cincinnati Reds,Curt Casali,541667,592200
Cincinnati Reds,Archie Bradley,534592,605151
Cincinnati Reds,Brian Goodwin,340520,571718
Cincinnati Reds,Luis Castillo,245741,622491
Cincinnati Reds,Tyler Mahle,225849,641816
Cincinnati Reds,Jesse Winker,224074,608385
Cincinnati Reds,Amir Garrett,220370,607237
Cincinnati Reds,Robert Stephenson,219259,596112
Cincinnati Reds,Lucas Sims,213889,608371
Cincinnati Reds,Kyle Farmer,211481,571657
Cincinnati Reds,Nick Senzel,211111,669222
Cincinnati Reds,Tejay Antone,196245,622088
Cincinnati Reds,Aristides Aquino,124600,606157
Cincinnati Reds,Joey Votto,25000000,458015
Cincinnati Reds,Nick Castellanos,13849496,592206
Cincinnati Reds,Eugenio Suarez,10785714,553993
Cincinnati Reds,Wade Miley,8000000,489119
Cincinnati Reds,Shogo Akiyama,7000000,673451
Cincinnati Reds,Luis Castillo,4200000,622491
Cincinnati Reds,Tucker Barnhart,4187500,571466
Cincinnati Reds,Jesse Winker,3150000,608385
Cincinnati Reds,Tyler Mahle,2200000,641816
Cincinnati Reds,Sean Doolittle,1500000,448281
Cincinnati Reds,Amir Garrett,1500000,607237
Cincinnati Reds,Tyler Naquin,1500000,571980
Cincinnati Reds,Heath Hembree,1095360,592390
Cincinnati Reds,Kyle Farmer,640000,571657
Cincinnati Reds,Aristides Aquino,579000,606157
Cincinnati Reds,Jonathan India,570500,663697
Cincinnati Reds,Tyler Stephenson,570500,663886
Cincinnati Reds,Ryan Hendrix,499921,641682
Cincinnati Reds,Cionel Perez,433998,672335
Cincinnati Reds,Brad Brach,414045,542960
Cincinnati Reds,Vladimir Gutierrez,392576,661269
Cincinnati Reds,Mike Freeman,380308,502273
Cincinnati Reds,Art Warren,368040,605521
Cincinnati Reds,Josh Osich,325102,592612
Cincinnati Reds,Tony Santillan,322035,0
Cincinnati Reds,Alejo Lopez,297499,0
Cleveland Indians,Carlos Santana,18333333,467793
Cleveland Indians,Jason Kipnis,14666668,543401
Cleveland Indians,Francisco Lindor,10550000,596019
Cleveland Indians,Carlos Carrasco,9750000,471911
Cleveland Indians,Brad Hand,6500000,543272
Cleveland Indians,Jose Ramirez,4150000,608070
Cleveland Indians,Yasiel Puig,3129032,624577
Cleveland Indians,Roberto Perez,2625000,547379
Cleveland Indians,Oliver Perez,2500000,424144
Cleveland Indians,Dan Otero,1300000,519096
Cleveland Indians,Tyler Clippard,1274270,461325
Cleveland Indians,Kevin Plawecki,1137500,608700
Cleveland Indians,Mike Clevinger,592200,605182
Cleveland Indians,Adam Cimber,563800,643256
Cleveland Indians,Shane Bieber,559600,669456
Cleveland Indians,Nick Wittgren,519216,621295
Cleveland Indians,Jordan Luplow,518985,656669
Cleveland Indians,Bradley Zimmer,518924,605548
Cleveland Indians,Mike Freeman,498328,502273
Cleveland Indians,Jake Bauers,470028,641343
Cleveland Indians,Jefry Rodriguez,444616,622446
Cleveland Indians,Nick Goody,424593,580792
Cleveland Indians,Oscar Mercado,417760,640458
